,model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day
0,Citroën,140411,100,diesel,black,convertible,True,True,False,False,True,True,True,106
1,Citroën,13929,317,petrol,grey,convertible,True,True,False,False,False,True,True,264
2,Citroën,183297,120,diesel,white,convertible,False,False,False,False,True,False,True,101
3,Citroën,128035,135,diesel,red,convertible,True,True,False,False,True,True,True,158
4,Citroën,97097,160,diesel,silver,convertible,True,True,False,False,False,True,True,183
5,Citroën,152352,225,petrol,black,convertible,True,True,False,False,True,True,True,131
6,Citroën,205219,145,diesel,grey,convertible,True,True,False,False,True,True,True,111
7,Citroën,115560,105,petrol,white,convertible,True,True,False,False,False,True,True,78
8,Peugeot,123886,125,petrol,black,convertible,True,False,False,False,False,True,True,79
9,Citroën,139541,135,diesel,white,convertible,False,False,False,False,True,False,True,132
10,Citroën,77115,135,diesel,blue,convertible,True,True,False,False,True,False,True,139
11,Citroën,228000,145,diesel,black,convertible,True,True,False,False,True,False,True,115
12,Citroën,132025,135,diesel,blue,convertible,True,True,False,False,True,True,True,147
13,Citroën,77061,135,diesel,black,convertible,True,True,False,False,True,True,True,191
14,Peugeot,174631,120,diesel,black,convertible,True,True,False,False,False,False,True,102
15,Peugeot,208945,130,diesel,grey,convertible,True,True,False,False,True,False,True,91
16,Peugeot,21167,135,petrol,white,convertible,False,False,True,False,False,False,False,148
17,Peugeot,24521,270,petrol,grey,convertible,True,False,False,False,False,False,True,96
18,Citroën,205474,145,diesel,grey,convertible,True,True,False,False,True,True,True,105
19,Peugeot,128940,110,petrol,black,convertible,True,False,False,False,False,False,True,88
20,Peugeot,126213,225,petrol,white,convertible,False,False,False,False,False,True,True,130
21,Peugeot,24868,100,petrol,grey,convertible,False,True,False,False,False,False,True,176
22,Citroën,90401,135,diesel,grey,convertible,True,True,False,False,True,True,True,162
23,Peugeot,46963,140,diesel,orange,convertible,False,True,False,False,False,True,True,153
24,Peugeot,43662,180,petrol,orange,convertible,True,False,False,False,True,False,True,144
25,Peugeot,196092,85,petrol,blue,convertible,True,False,False,False,False,False,False,42
26,Peugeot,113678,190,diesel,black,convertible,True,True,False,False,True,True,True,173
27,Citroën,65988,135,diesel,grey,convertible,True,True,False,False,True,True,True,169
28,Peugeot,123809,125,petrol,black,convertible,True,False,False,False,False,True,True,81
29,Citroën,181252,120,diesel,black,convertible,True,True,False,False,True,False,True,105
30,Citroën,195114,105,diesel,red,convertible,True,True,False,False,False,True,True,99
31,Peugeot,82761,110,petrol,grey,convertible,True,False,False,False,False,True,True,97
32,Peugeot,25050,100,petrol,grey,convertible,False,True,False,False,False,False,True,176
33,Citroën,64832,135,diesel,grey,convertible,True,True,False,False,True,True,True,166
34,Peugeot,240788,120,diesel,grey,convertible,True,False,False,False,False,False,True,74
35,Peugeot,124516,125,petrol,black,convertible,True,False,False,False,False,True,True,79
36,Peugeot,187294,105,petrol,red,convertible,True,False,False,False,False,True,True,49
37,Peugeot,24452,270,petrol,grey,convertible,True,False,False,False,False,False,True,82
38,Peugeot,17267,110,diesel,white,convertible,True,True,False,False,True,False,True,156
39,Citroën,194192,120,diesel,beige,convertible,True,True,False,False,True,False,True,109
40,Citroën,36696,120,diesel,black,convertible,True,True,False,False,True,False,True,185
41,Peugeot,270907,236,petrol,black,convertible,True,False,False,False,False,True,True,110
42,PGO,142483,180,diesel,blue,convertible,True,True,False,False,True,False,True,126
43,Peugeot,223269,120,diesel,blue,convertible,True,True,False,False,False,False,True,89
44,Peugeot,158805,130,diesel,black,convertible,True,False,False,False,True,True,True,95
45,Peugeot,13131,110,diesel,grey,convertible,False,True,False,False,True,False,True,156
46,Peugeot,187104,105,petrol,red,convertible,True,False,False,False,False,True,True,51
47,Citroën,20996,135,petrol,black,coupe,True,False,False,False,True,False,True,146
48,Citroën,50222,135,diesel,grey,coupe,False,False,False,False,False,False,False,162
49,Citroën,147180,100,diesel,black,coupe,True,False,True,False,False,False,True,92
50,Peugeot,51618,105,diesel,grey,coupe,False,True,False,False,True,False,True,131
51,Citroën,104433,120,diesel,silver,coupe,True,False,False,False,True,False,True,87
52,Citroën,77334,135,diesel,grey,coupe,False,False,False,False,True,False,True,154
53,Citroën,55329,135,diesel,black,coupe,False,False,False,False,False,False,False,163
54,Citroën,14041,140,diesel,blue,coupe,True,True,False,False,True,True,True,166
55,Renault,78638,160,diesel,black,coupe,False,True,False,False,False,True,True,135
56,Citroën,329173,110,diesel,silver,coupe,True,False,False,False,False,False,True,48
57,Renault,34082,240,petrol,grey,coupe,False,True,True,False,True,True,True,174
58,Renault,265751,85,petrol,silver,coupe,False,False,False,False,False,False,False,32
59,Citroën,181644,135,diesel,blue,coupe,True,True,False,False,True,False,True,138
60,Renault,26062,225,petrol,blue,coupe,True,True,False,True,True,True,True,175
61,Citroën,56250,160,diesel,blue,coupe,False,False,False,False,False,False,False,169
62,Renault,45536,250,petrol,white,coupe,True,True,True,False,True,True,True,197
63,Renault,69695,230,diesel,blue,coupe,True,True,False,False,True,True,True,191
64,Citroën,61300,135,diesel,black,coupe,True,True,False,False,True,False,True,166
65,Renault,197407,230,diesel,blue,coupe,True,True,True,False,True,True,True,179
66,Citroën,93066,135,diesel,black,coupe,False,False,False,True,True,False,True,109
67,Peugeot,29925,309,petrol,silver,coupe,True,True,False,False,True,True,True,217
68,Renault,67403,230,diesel,black,coupe,True,True,True,True,True,True,True,235
69,Citroën,199614,120,diesel,black,coupe,True,True,True,False,True,True,True,127
70,Peugeot,27786,140,diesel,white,coupe,False,True,False,False,False,True,True,162
71,Citroën,80165,135,diesel,white,coupe,False,False,False,False,False,False,False,140
72,Citroën,69410,317,petrol,white,coupe,True,True,False,False,False,True,True,232
73,Peugeot,170550,309,petrol,grey,coupe,True,True,False,False,True,False,True,167
74,Citroën,42077,135,diesel,black,coupe,False,False,False,False,True,True,True,150
75,Renault,92527,230,diesel,blue,coupe,True,True,True,False,False,False,True,179
76,Peugeot,23949,100,diesel,blue,coupe,False,True,False,False,True,False,True,162
77,Citroën,175311,130,diesel,black,coupe,True,False,False,True,True,False,True,93
